token,isin,return_option,schemeName,schemePlan,schemeCode,NAV,ChangeInNAV,ChangeInNAVPer,min_investment,div_frequency,NavDate
83,INF090I01DK8,Dividend - Reinvest,Franklin India Corporate Debt Fund - (IDCW-M),Regular,F039-DR-M,15.0374,0.00,-0.02,10000.00,MONTHLY,11th February 2025
84,INF090I01DL6,Dividend - Payout,Franklin India Corporate Debt Fund - (IDCW-Q),Regular,FR040P-DP,11.921,0.00,0.01,10000.00,QUARTERLY,11th February 2025
84,INF090I01DM4,Dividend - Reinvest,Franklin India Corporate Debt Fund - (IDCW-Q),Regular,F040-DR-Q,11.921,0.00,0.01,10000.00,QUARTERLY,11th February 2025
86,INF090I01510,Growth,Franklin India Pension Plan - (G),Regular,010-GR,206.8087,-1.68,-0.81,500.00,,11th February 2025
86,INF090I01510,Growth,Franklin India Pension Plan - (G),Regular,FR010-GR,206.8087,-1.68,-0.81,500.00,,11th February 2025
87,INF090I01528,Dividend - Payout,Franklin India Pension Plan - (IDCW),Regular,FR011P-DP,17.0094,-0.14,-0.82,500.00,INTERIM,11th February 2025
87,INF090I01536,Dividend - Reinvest,Franklin India Pension Plan - (IDCW),Regular,FR011-DR,17.0094,-0.14,-0.82,500.00,INTERIM,11th February 2025
89,INF090I01809,Growth,Franklin India Prima Fund - (G),Regular,F036-GR,2466.9405,-66.87,-2.64,5000.00,,11th February 2025
90,INF090I01239,Growth,Franklin India Flexi Cap Fund - (G),Regular,FTIFIPP-GR,1498.4103,-28.45,-1.86,5000.00,,11th February 2025
96,INF090I01BB1,Growth,Franklin India Liquid Fund - Regular (G),Regular,FR014-GR,5771.0288,1.14,0.02,10000.00,,11th February 2025
99,INF767K01071,Growth,LIC MF Flexi Cap Fund - (G),Regular,LCEFGP-GR,90.0919,-2.69,-2.90,5000.00,,11th February 2025
103,INF767K01014,Dividend - Reinvest,LIC MF Aggressive Hybrid Fund - Regular (IDCW),Regular,LCBLDP-DR,15.1632,-0.30,-1.92,5000.00,ANNUAL,11th February 2025
103,INF767K01022,Dividend - Payout,LIC MF Aggressive Hybrid Fund - Regular (IDCW),Regular,LCBLDP-DP,15.1632,-0.30,-1.92,5000.00,ANNUAL,11th February 2025
110,INF179KA1RT1,Growth,HDFC Large and Mid Cap Fund (G),Regular,HDGFGPG-GR,303.499,-6.92,-2.23,100.00,,11th February 2025
112,INF109K01431,Growth,ICICI Pru Large & Mid Cap Fund - (G),Regular,GROWTH,905.28,-18.22,-1.97,5000.00,,11th February 2025
113,INF109K01449,Dividend - Payout,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,GROWTH-DP,28.97,-0.58,-1.96,5000.00,INTERIM,11th February 2025
113,INF109K01449,Dividend - Reinvest,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,IC12-DR,28.97,-0.58,-1.96,5000.00,INTERIM,11th February 2025
113,INF109K01EQ7,Dividend - Payout,ICICI Pru Large & Mid Cap Fund - (IDCW),Regular,ICICI12P-DP,28.97,-0.58,-1.96,5000.00,INTERIM,11th February 2025
114,INF109K01365,Growth,ICICI Pru Long Term Bond Fund - (G),Regular,ICICI22-GR,86.8145,0.08,0.10,5000.00,,11th February 2025
118,INF109K01613,Growth,ICICI Pru Multicap Fund - (G),Regular,ICICI121-GR,726.16,-12.83,-1.74,5000.00,,11th February 2025
119,INF109K01464,Growth,ICICI Pru ELSS Tax Saver Fund - (G),Regular,01,844.0,-13.78,-1.61,500.00,,11th February 2025
120,INF109K01472,Dividend - Reinvest,ICICI Pru ELSS Tax Saver Fund - (IDCW),Regular,TAX-DR,23.16,-0.38,-1.61,500.00,INTERIM,11th February 2025
120,INF109K01FN1,Dividend - Payout,ICICI Pru ELSS Tax Saver Fund - (IDCW),Regular,ICICI02P-DP,23.16,-0.38,-1.61,500.00,INTERIM,11th February 2025
121,INF204K01323,Growth,Nippon India Growth Fund - (G),Regular,GFGP,3601.8236,-98.18,-2.65,100.00,,11th February 2025
122,INF204K01299,Dividend - Payout,Nippon India Growth Fund - (IDCW),Regular,GFDP-DP,113.4585,-3.09,-2.65,100.00,INTERIM,11th February 2025
122,INF204K01307,Dividend - Reinvest,Nippon India Growth Fund - (IDCW),Regular,GFDP-DR,113.4585,-3.09,-2.65,100.00,INTERIM,11th February 2025
123,INF204K01CN7,Dividend - Payout,Nippon India Income Fund - (IDCW-M),Regular,RELINF-DP-M,10.8061,0.01,0.06,25000.00,MONTHLY,11th February 2025
123,INF204K01CO5,Dividend - Reinvest,Nippon India Income Fund - (IDCW-M),Regular,RELINF-DR-M,10.8061,0.01,0.06,25000.00,MONTHLY,11th February 2025
124,INF204K01CL1,Growth,Nippon India Income Fund - (G),Regular,RELINF-GR,86.8773,0.06,0.07,5000.00,,11th February 2025
125,INF204K01UL3,Growth,Nippon India Liquid Fund - Retail (G),Regular,RELLFTPR-GR,5509.1779,1.10,0.02,1000.00,,11th February 2025
126,INF204K01406,Growth,Nippon India Vision Fund - (G),Regular,GSGP,1315.6633,-26.34,-1.96,5000.00,,11th February 2025
127,INF200K01198,Dividend - Payout,SBI ESG Exclusionary Strategy Fund (IDCW),Regular,007-DP,70.4134,-0.59,-0.83,1000.00,,10th February 2025
127,INF200K01206,Dividend - Reinvest,SBI ESG Exclusionary Strategy Fund (IDCW),Regular,007-DR,70.4134,-0.59,-0.83,1000.00,,10th February 2025
128,INF200K01255,Dividend - Payout,SBI Magnum Global Fund (IDCW),Regular,021-DP,106.3586,-2.26,-2.08,5000.00,INTERIM,11th February 2025
128,INF200K01263,Dividend - Reinvest,SBI Magnum Global Fund (IDCW),Regular,021-DR,106.3586,-2.26,-2.08,5000.00,INTERIM,11th February 2025
130,INF200K01LJ4,Growth,SBI Magnum Ultra Short Duration Fund - (G),Regular,SBI086G-GR,5802.2262,1.04,0.02,5000.00,,11th February 2025
131,INF200K01594,Growth,SBI Magnum Income Fund - (G),Regular,028G,68.3488,0.03,0.04,5000.00,,11th February 2025
132,INF200K01610,Dividend - Payout,SBI Magnum Income Fund - (IDCW),Regular,028D-DP,17.8766,0.01,0.04,5000.00,HALF YEARLY,11th February 2025
132,INF200K01628,Dividend - Reinvest,SBI Magnum Income Fund - (IDCW),Regular,028D-DR,17.8766,0.01,0.04,5000.00,HALF YEARLY,11th February 2025
133,INF200K01115,Dividend - Payout,SBI Equity Hybrid Fund (IDCW),Regular,24-DP,57.582,-0.53,-0.91,1000.00,,11th February 2025
133,INF200K01123,Dividend - Reinvest,SBI Equity Hybrid Fund (IDCW),Regular,24-DR,57.582,-0.53,-0.91,1000.00,,11th February 2025
135,INF200K01289,Dividend - Payout,SBI Large & Midcap Fund (IDCW),Regular,017-DP,257.5009,-3.26,-1.25,5000.00,ANNUAL,10th February 2025
135,INF200K01297,Dividend - Reinvest,SBI Large & Midcap Fund (IDCW),Regular,017-DR,257.5009,-3.26,-1.25,5000.00,ANNUAL,10th February 2025
136,INF200K01347,Dividend - Payout,SBI Contra Fund (IDCW),Regular,036-DP,62.841,-0.64,-1.01,5000.00,INTERIM,10th February 2025
136,INF200K01354,Dividend - Reinvest,SBI Contra Fund (IDCW),Regular,036-DR,62.841,-0.64,-1.01,5000.00,INTERIM,10th February 2025
137,INF200K01479,Dividend - Payout,SBI Long Term Equity Fund (IDCW),Regular,018-DP,81.6759,-1.52,-1.83,500.00,,11th February 2025
137,INF200K01487,Dividend - Reinvest,SBI Long Term Equity Fund (IDCW),Regular,018-DR,81.6759,-1.52,-1.83,500.00,,11th February 2025
145,INF903J01FQ2,Growth,Sundaram Medium Duration Fund - (G),Regular,SUN22-GR,66.9801,0.05,0.07,5000.00,,11th February 2025
146,INF903J01FR0,Dividend - Payout,Sundaram Medium Duration Fund - (IDCW-Q),Regular,SUN21P-DP,13.1988,0.01,0.07,5000.00,QUARTERLY,11th February 2025
146,INF903J01FU4,Dividend - Reinvest,Sundaram Medium Duration Fund - (IDCW-Q),Regular,SUN21-DR,13.1988,0.01,0.07,5000.00,QUARTERLY,11th February 2025
148,INF277K01303,Growth,Tata Hybrid Equity Fund - Regular (G),Regular,BFG-TATA-DP,409.7897,-6.34,-1.52,5000.00,,11th February 2025
151,INF277K01956,Growth,Tata Ethical Fund - (G),Regular,SSF,367.5045,-8.08,-2.15,5000.00,,11th February 2025
153,INF277K01931,Growth,Tata Large Cap Fund - Regular (G),Regular,PEF,464.7081,-7.12,-1.51,5000.00,,11th February 2025
155,INF044D01815,Growth,Taurus Mid Cap Fund (G),Regular,TMFDSGP-GR,107.67,-3.00,-2.71,500.00,,11th February 2025
155,INF044D01815,Growth,Taurus Mid Cap Fund (G),Regular,TRDSGP-GR,107.67,-3.00,-2.71,500.00,,11th February 2025
158,INF044D01AC9,Growth,Taurus ELSS Tax Saver Fund (G),Regular,TMFLTGP-GR,173.9,-2.31,-1.31,500.00,,11th February 2025
158,INF044D01AC9,Growth,Taurus ELSS Tax Saver Fund (G),Regular,TRLTGP-GR,173.9,-2.31,-1.31,500.00,,11th February 2025
159,INF090I01270,Dividend - Payout,Templeton India Value Fund - (IDCW),Regular,FR154P-DP,94.8777,-1.61,-1.67,5000.00,INTERIM,11th February 2025
159,INF090I01288,Dividend - Reinvest,Templeton India Value Fund - (IDCW),Regular,FTIGF-DR,94.8777,-1.61,-1.67,5000.00,INTERIM,11th February 2025
164,INF789F01406,Growth,UTI-Medium to Long Duration Fund (G),Regular,UTIBOND-GR,70.8668,0.05,0.07,500.00,,11th February 2025
166,INF789F01521,Dividend - Payout,UTI-ELSS Tax Saver Fund (IDCW),Regular,UTIETSP-DP,36.1872,-0.61,-1.67,500.00,,11th February 2025
166,INF789F01539,Dividend - Reinvest,UTI-ELSS Tax Saver Fund (IDCW),Regular,UTIETSP-DR,36.1872,-0.61,-1.67,500.00,,11th February 2025
184,INF189A01038,Dividend - Payout,UTI-Large Cap Fund (IDCW),Regular,UTIMSHARE-DP,51.8563,-0.73,-1.40,5000.00,INTERIM,11th February 2025
184,INF789F01950,Dividend - Reinvest,UTI-Large Cap Fund (IDCW),Regular,UTIMSHARE-DR,51.8563,-0.73,-1.40,5000.00,INTERIM,11th February 2025
185,INF789F01JL6,Dividend - Payout,UTI-Nifty 50 Index Fund (IDCW),Regular,UTNIDP-DP,79.3916,-1.07,-1.33,1000.00,,11th February 2025
185,INF789F01JM4,Dividend - Reinvest,UTI-Nifty 50 Index Fund (IDCW),Regular,UTNIDP-DR,79.3916,-1.07,-1.33,1000.00,,11th February 2025
187,INF789F01828,Dividend - Payout,UTI-MNC Fund (IDCW),Regular,UTIMNC-DP,184.9841,-3.54,-1.88,5000.00,ANNUAL,11th February 2025
187,INF789F01836,Dividend - Reinvest,UTI-MNC Fund (IDCW),Regular,UTIMNC-DR,184.9841,-3.54,-1.88,5000.00,ANNUAL,11th February 2025
190,INF789F01323,Growth,UTI-Aggressive Hybrid Fund (G),Regular,UTIBALANCE-GR,377.6197,-5.35,-1.40,1000.00,,11th February 2025
191,INF789F01307,Dividend - Payout,UTI-Aggressive Hybrid Fund (IDCW),Regular,UTIBALANCE-DP,42.0399,-0.60,-1.41,5000.00,INTERIM,11th February 2025
191,INF789F01315,Dividend - Reinvest,UTI-Aggressive Hybrid Fund (IDCW),Regular,UTIBALANCE-DR,42.0399,-0.60,-1.41,5000.00,INTERIM,11th February 2025
193,INF179K01582,Dividend - Payout,HDFC Flexi Cap Fund - (IDCW),Regular,01-DP,78.36,-1.20,-1.51,100.00,INTERIM,11th February 2025
193,INF179K01590,Dividend - Reinvest,HDFC Flexi Cap Fund - (IDCW),Regular,HDFC01D-DR,78.36,-1.20,-1.51,100.00,INTERIM,11th February 2025
194,INF179K01848,Growth,HDFC Dynamic Debt Fund (G),Regular,12,86.9384,0.05,0.06,100.00,,11th February 2025
195,INF179K01871,Dividend - Payout,HDFC Dynamic Debt Fund (IDCW-Q),Regular,11-DP,12.6003,0.01,0.08,100.00,QUARTERLY,11th February 2025
195,INF179K01889,Dividend - Reinvest,HDFC Dynamic Debt Fund (IDCW-Q),Regular,HDFC11D-DR-Q,12.6003,0.01,0.08,100.00,QUARTERLY,11th February 2025
200,INF179K01AZ9,Dividend - Payout,HDFC ELSS Tax Saver Fund (IDCW),Regular,31-DP,75.572,-1.09,-1.42,500.00,INTERIM,11th February 2025
200,INF179K01BA0,Dividend - Reinvest,HDFC ELSS Tax Saver Fund (IDCW),Regular,HDFC31D-DR,75.572,-1.09,-1.42,500.00,INTERIM,11th February 2025
203,INF209K01157,Dividend - Payout,Aditya Birla SL Equity Advantage Fund (IDCW),Regular,B201D-DP,124.22,-2.87,-2.26,1000.00,INTERIM,11th February 2025
203,INF209K01CE5,Dividend - Reinvest,Aditya Birla SL Equity Advantage Fund (IDCW),Regular,B201D-DR,124.22,-2.87,-2.26,1000.00,INTERIM,11th February 2025
204,INF179K01608,Growth,HDFC Flexi Cap Fund - (G),Regular,02,1795.625,-27.50,-1.51,100.00,,11th February 2025
205,INF179K01BC6,Dividend - Payout,HDFC Large Cap Fund - Regular (IDCW),Regular,41-DP,59.094,-0.94,-1.56,100.00,INTERIM,11th February 2025
205,INF179K01BD4,Dividend - Reinvest,HDFC Large Cap Fund - Regular (IDCW),Regular,HDFC41D-DR,59.094,-0.94,-1.56,100.00,INTERIM,11th February 2025
206,INF179K01400,Dividend - Payout,HDFC Capital Builder Value Fund - (IDCW),Regular,61-DP,33.715,-0.61,-1.76,100.00,INTERIM,11th February 2025
206,INF179K01418,Dividend - Reinvest,HDFC Capital Builder Value Fund - (IDCW),Regular,HDFC61D-DR,33.715,-0.61,-1.76,100.00,INTERIM,11th February 2025
211,INF192K01601,Growth,JM Large Cap Fund - (G),Regular,EFGP-GR,142.3445,-2.98,-2.05,1000.00,,11th February 2025
212,INF192K01585,Dividend - Payout,JM Large Cap Fund - (IDCW),Regular,JMEFDP-DP,27.6324,-0.58,-2.05,1000.00,INTERIM,11th February 2025
212,INF192K01593,Dividend - Reinvest,JM Large Cap Fund - (IDCW),Regular,JMEFDP-DR,27.6324,-0.58,-2.05,1000.00,INTERIM,11th February 2025
213,INF192K01544,Growth,JM Aggressive Hybrid Fund - (G),Regular,BFGP-GR,113.4345,-2.36,-2.03,1000.00,,11th February 2025
214,INF192K01528,Dividend - Payout,JM Aggressive Hybrid Fund - (IDCW),Regular,JMBFDP-DP,31.7266,-0.66,-2.05,1000.00,INTERIM,11th February 2025
214,INF192K01536,Dividend - Reinvest,JM Aggressive Hybrid Fund - (IDCW),Regular,JMBFDP-DR,31.7266,-0.66,-2.05,1000.00,INTERIM,11th February 2025
215,INF192K01AB3,Growth,JM Medium to Long Duration Fund - (G),Regular,IFRG-GR,59.8405,0.07,0.12,1000.00,,11th February 2025
216,INF192K01999,Dividend - Payout,JM Medium to Long Duration Fund - (IDCW),Regular,IFRD-DP,20.3461,0.03,0.13,1000.00,QUARTERLY,11th February 2025
216,INF192K01AA5,Dividend - Reinvest,JM Medium to Long Duration Fund - (IDCW),Regular,JMIFRD-DR,20.3461,0.03,0.13,1000.00,QUARTERLY,11th February 2025
217,INF192K01882,Growth,JM Liquid Fund - (G),Regular,LFRG-GR,69.431,0.01,0.02,1000.00,,11th February 2025
218,INF192K01841,Dividend - Payout,JM Liquid Fund - (IDCW-W),Regular,LFRD-DP,11.0035,-0.02,-0.15,1000.00,WEEKLY,11th February 2025
218,INF192K01858,Dividend - Reinvest,JM Liquid Fund - (IDCW-W),Regular,JMLFRD-DR,11.0035,-0.02,-0.15,1000.00,WEEKLY,11th February 2025
223,INF137A01037,Growth,JM Value Fund (G),Regular,BAGP-GR,90.3459,-2.36,-2.55,1000.00,,11th February 2025
235,INF084M01AC6,Dividend - Payout,Aditya Birla SL Balanced Advantage Fund (IDCW),Regular,BS106DP-DP,25.37,-0.26,-1.01,100.00,,11th February 2025
235,INF084M01AD4,Dividend - Reinvest,Aditya Birla SL Balanced Advantage Fund (IDCW),Regular,BS106D-DR,25.37,-0.26,-1.01,100.00,,11th February 2025
236,INF740K01615,Growth,DSP Gilt Fund (G),Regular,DSP60-GR,92.7349,-0.02,-0.02,100.00,,11th February 2025
237,INF740K01607,Dividend - Payout,DSP Gilt Fund (IDCW),Regular,DSP61-DP,12.3119,0.00,0.02,100.00,HALF YEARLY,11th February 2025
237,INF740K01AD5,Dividend - Reinvest,DSP Gilt Fund (IDCW),Regular,DSP395-DR,12.3119,0.00,0.02,100.00,HALF YEARLY,11th February 2025
238,INF740K01714,Growth,DSP Savings Fund (G),Regular,DSP62-GR,51.1322,0.01,0.02,100.00,,11th February 2025
239,INF740K01706,Dividend - Payout,DSP Savings Fund (IDCW),Regular,DSP63-DP,12.4588,0.00,-0.01,100.00,QUARTERLY,11th February 2025
239,INF740K01AJ2,Dividend - Reinvest,DSP Savings Fund (IDCW),Regular,DSP396-DR,12.4588,0.00,-0.01,100.00,QUARTERLY,11th February 2025
254,INF966L01135,Growth,Quant ELSS Tax Saver Fund - Regular (G),Regular,QUTPGP-GR,324.9008,-5.26,-1.59,500.00,,11th February 2025
255,INF174K01FO3,Growth,Kotak Banking and PSU Debt Fund (G),Regular,K01-GR,63.1225,0.02,0.04,100.00,,11th February 2025
256,INF174K01FP0,Dividend - Reinvest,Kotak Banking and PSU Debt Fund (IDCW),Regular,K11-DR,11.8592,0.00,-0.01,100.00,MONTHLY,11th February 2025
256,INF174K01FQ8,Dividend - Payout,Kotak Banking and PSU Debt Fund (IDCW),Regular,K11DP-DP,11.8592,0.00,-0.01,100.00,MONTHLY,11th February 2025
257,INF174K01FI5,Growth,Kotak Gilt - Invest Plan (G),Regular,K02-GR,93.6104,0.01,0.01,100.00,,11th February 2025
258,INF174K01FJ3,Dividend - Reinvest,Kotak Gilt - Invest Plan (IDCW),Regular,K12-DR,18.2917,0.00,0.01,100.00,QUARTERLY,11th February 2025
258,INF174K01FK1,Dividend - Payout,Kotak Gilt - Invest Plan (IDCW),Regular,K12DP-DP,18.2917,0.00,0.01,100.00,QUARTERLY,11th February 2025
262,INF174K01161,Dividend - Reinvest,Kotak Bluechip Fund (IDCW),Regular,K033U-DR,67.191,-1.13,-1.65,100.00,INTERIM,11th February 2025
262,INF174K01179,Dividend - Payout,Kotak Bluechip Fund (IDCW),Regular,K03DP-DP,67.191,-1.13,-1.65,100.00,INTERIM,11th February 2025
263,INF174K01443,Dividend - Reinvest,Kotak Equity Hybrid Fund (IDCW),Regular,K04MABU99-DR,33.465,-0.57,-1.66,100.00,INTERIM,11th February 2025
263,INF174K01450,Dividend - Payout,Kotak Equity Hybrid Fund (IDCW),Regular,K04DP-DP,33.465,-0.57,-1.66,100.00,INTERIM,11th February 2025
263,INF174K01450,Dividend - Payout,Kotak Equity Hybrid Fund (IDCW),Regular,KO04-DP,33.465,-0.57,-1.66,100.00,INTERIM,11th February 2025
266,INF174K01EM0,Growth,Kotak Bond Fund - Regular (G),Regular,K06-GR,74.2533,0.03,0.04,100.00,,11th February 2025
268,INF090I01155,Dividend - Payout,Franklin India Bluechip Fund - (IDCW),Regular,FR006P-DP,43.8054,-0.39,-0.89,5000.00,INTERIM,10th February 2025
268,INF090I01163,Dividend - Reinvest,Franklin India Bluechip Fund - (IDCW),Regular,FTIFIBCF-DR,43.8054,-0.39,-0.89,5000.00,INTERIM,10th February 2025
269,INF090I01726,Dividend - Payout,Franklin India Prima Fund - (IDCW),Regular,FR001P-DP,91.2026,-2.47,-2.63,5000.00,INTERIM,11th February 2025
269,INF090I01734,Dividend - Reinvest,Franklin India Prima Fund - (IDCW),Regular,F001-DR,91.2026,-2.47,-2.63,5000.00,INTERIM,11th February 2025
270,INF090I01213,Dividend - Payout,Franklin India Flexi Cap Fund - (IDCW),Regular,FR002P-DP,65.8816,-1.25,-1.86,5000.00,INTERIM,11th February 2025
270,INF090I01221,Dividend - Reinvest,Franklin India Flexi Cap Fund - (IDCW),Regular,FTIFIPP-DR,65.8816,-1.25,-1.86,5000.00,INTERIM,11th February 2025
271,INF090I01742,Growth,Franklin India Technology Fund - (G),Regular,F025-GR,532.5343,-3.70,-0.69,5000.00,,10th February 2025
272,INF090I01759,Dividend - Payout,Franklin India Technology Fund - (IDCW),Regular,FR026P-DP,49.8074,-0.34,-0.68,5000.00,INTERIM,10th February 2025
272,INF090I01767,Dividend - Reinvest,Franklin India Technology Fund - (IDCW),Regular,F026-DR,49.8074,-0.34,-0.68,5000.00,INTERIM,10th February 2025
